order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD479736,ID0581712804,2019-02-19,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('iAssist Line', 1), ('Olivia x460', 2)]",6335.0,102.82,-37.8056849,144.9280772,25,4854.07,Summer,True,1.8425,"screen size i like the display , it's bright and clear.",1.0
ORD445657,ID1287239241,2019-08-18,Nickolson,"[('iAssist Line', 1), ('Lucent 330S', 2), ('iStream', 2)]",4985.0,84.86,-37.7987169,144.96735230000004,10,4571.36,Winter,True,2.2212,very happy with purchase phone as advertised (excellent condition) and arrived a day early. very happy with purchase.,1.0
ORD013238,ID0608812335,2019-03-20,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 2), ('Toshika 750', 2)]",13315.0,78.3,-37.8170472,144.96404990000005,25,10064.55,Autumn,True,0.5135,"nice phone, unfortunately it not for the network i ... nice phone ,unfortunately it not for the network i am on",1.0
ORD110752,ID5371634609,2019-08-19,Nickolson,"[('Olivia x460', 2), ('iStream', 1)]",2600.0,80.47,-37.80695460000001,144.9652455,5,2550.47,Winter,True,1.35,a really good phone this phone is very good. i got this phone for my birthday a while ago and it has held up perfectly. this phone is really fast and can handle anything you throw at it. i would highly reccomend this to anyone looking for a great phone that won't break the bank.,1.0
ORD304214,ID0129279833,2019-05-24,Bakers,"[('Toshika 750', 2), ('Candle Inferno', 1), ('iStream', 1)]",9220.0,79.79,-37.8020804,144.9950531,25,6994.79,Autumn,True,0.8813,five stars very nice device and quality matched description,1.0
ORD389234,ID0371973419,2019-03-01,Nickolson,"[('Candle Inferno', 1), ('iStream', 1), ('Lucent 330S', 1)]",1810.0,66.4,-37.8052643,144.9695957,25,1423.9,Autumn,False,1.4839,it works just right. my husband loves it too. it does well with my kids.,1.0
ORD280200,ID3790949308,2019-07-23,Thompson,"[('Lucent 330S', 1), ('Universe Note', 1), ('iStream', 1), ('pearTV', 2)]",17450.0,69.49,-37.8045831,144.9353925,25,13156.99,Winter,False,1.3659,"xp is not ready yet fingerprint doesn't work, speaker is bad from the start, and xp repair said i need to send my phone and wait up to 3 weeks for repair, might as well threw the phone away",1.0
ORD461364,ID3215192034,2019-09-12,Thompson,"[('pearTV', 1), ('Thunder line', 2), ('Candle Inferno', 2), ('Lucent 330S', 1)]",12760.0,84.34,-37.8085695,144.94688380000005,10,11568.34,Spring,True,0.4571,price dropped 10 days after my purchase it is a very good phone. the battery and the camera are great. but the price dropped almost $30 after my purchase. not very happy.,0.0
ORD490608,ID0176699680,2019-09-16,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 1)]",2090.0,78.47,-37.8109835,144.96283830000004,10,1959.47,Spring,False,1.0327,"great phone i had the s2 before getting the s4. i loved the s2 and love the s4. i'm very happy with the upgraded features. great phone! also, it arrived in 2 days!",1.0
ORD360468,ID0247010182,2019-03-11,Nickolson,"[('iAssist Line', 1), ('Lucent 330S', 1), ('Olivia x460', 1)]",4680.0,65.4,-37.8091336,144.9682986,10,4277.4,Autumn,False,1.059,works and looks like new. i use mine on metropcs. it was like a new phone except it had an off brand charger and head phones (both seemed new at least) and it cam with the wrong cable (usb c). i would buy again.,1.0
